iter	TotalF1	MultiClass
290	0.5615186838	0.9127252894
291	0.5615757664	0.9126070602
292	0.5617013265	0.9125336806
293	0.5617147646	0.9123666667
294	0.5617636802	0.9121994792
295	0.5619546969	0.912046412
296	0.5618914076	0.9118600116
297	0.5621826969	0.9117129051
298	0.5620578623	0.9115697917
299	0.5622371945	0.9114177662
300	0.5623545571	0.9113275463
301	0.5623705897	0.9112063079
302	0.5624824611	0.9110697917
303	0.5626937475	0.9109168403
304	0.5626375094	0.91074375
305	0.5625371489	0.9105773727
306	0.5627889838	0.9104090278
307	0.5629718559	0.9102527778
308	0.5631925584	0.9101125
309	0.563421586	0.9099398148
310	0.5637142241	0.9097958333
311	0.5640081689	0.909670081
312	0.5637961544	0.9095223958
313	0.5642163992	0.9092822338
314	0.5642805222	0.9090550347
315	0.5641958737	0.9089269676
316	0.5645352132	0.9087945602
317	0.5644339075	0.9086739005
318	0.5645495441	0.9085584491
319	0.5646205166	0.9084545718
320	0.5648995628	0.9083228009
321	0.5650276341	0.9081643519
322	0.5652550918	0.9080050926
323	0.5652246026	0.9078457176
324	0.5653479965	0.9076412037
325	0.5654613438	0.9074570602
326	0.5654947043	0.9073504051
327	0.565603848	0.9072641782
328	0.5656548657	0.9071565972
329	0.5658585435	0.9070645833
330	0.5657888749	0.9069259838
331	0.566051914	0.9067675926
332	0.5661453932	0.9066195023
333	0.5661449038	0.9064303819
334	0.5663256927	0.9062357639
335	0.5665460215	0.9061381366
336	0.5666512201	0.9060201968
337	0.5666474917	0.9059085648
338	0.566685603	0.9057447338
339	0.5668629281	0.9056163194
340	0.5669105376	0.9055079282
341	0.567027304	0.9053385417
342	0.5671377903	0.9052254051
343	0.5670332046	0.9050838542
344	0.5671795755	0.9049577546
345	0.567278174	0.9048167824
346	0.5675053413	0.9047319444
347	0.5677198013	0.9045542245
348	0.5677422528	0.9044081597
349	0.5678737328	0.9041832176
350	0.5677927522	0.9041030093
351	0.5678166139	0.9040055556
352	0.5678764825	0.9038538773
353	0.5680201406	0.90375
354	0.5680705433	0.9036592593
355	0.5682363953	0.9034539931
356	0.5683131718	0.9033072917
357	0.5684656987	0.9031353009
358	0.568345835	0.9029925347
359	0.5683943586	0.9028828125
360	0.5685454293	0.9027886574
361	0.5685301053	0.9026773727
362	0.56850955	0.9025398727
363	0.5686757817	0.9023590278
364	0.5685729552	0.9021906829
365	0.569012898	0.901962037
366	0.5692088613	0.9018303241
367	0.5693125164	0.9017146412
368	0.5694690939	0.9015614583
369	0.5696602367	0.9013519097
370	0.5696923419	0.9011774306
371	0.5697624714	0.9010588542
372	0.5696735028	0.9009483218
373	0.5700232503	0.9007987269
374	0.5700299349	0.9006508681
375	0.5702825171	0.9004645833
376	0.5704261396	0.900358912
377	0.5705608902	0.9002717593
378	0.5707506086	0.9001525463
379	0.5709412088	0.9000399884
380	0.5709888632	0.8998752894
381	0.5709799139	0.8997340856
382	0.57112825	0.8995853009
383	0.5711296644	0.8994166088
384	0.571498146	0.8992355324
385	0.5714049516	0.8991398148
386	0.5715376451	0.8990104167
387	0.5716687164	0.8989461227
388	0.571702106	0.8988533565
389	0.5718694141	0.8986719329
390	0.5720080716	0.8985630208
391	0.5722387387	0.8983617477
392	0.5722983814	0.8981773148
393	0.5722046713	0.8980404514
394	0.5725106072	0.8979353009
395	0.5725430481	0.8978316551
396	0.5728175593	0.8977183449
397	0.5728743862	0.8976276042
398	0.572930216	0.8975423611
399	0.5731677449	0.8973850116
400	0.5734222817	0.8972536458
401	0.5735786662	0.8971179398
402	0.5735221603	0.8969369792
403	0.573711855	0.896839294
404	0.573857495	0.8967278935
405	0.5736870707	0.8966332176
406	0.5738952954	0.8964689236
407	0.5740206046	0.8963545718
408	0.5740321434	0.896253125
409	0.5742764367	0.8960876736
410	0.5742595568	0.8959998264
411	0.5745014953	0.8959326968
412	0.5745503141	0.8958395833
413	0.5745858506	0.8957613426
414	0.5745558503	0.895697338
415	0.5745005963	0.8955635995
416	0.574605596	0.8954834491
417	0.5747210741	0.8953324074
418	0.5747202095	0.8952578125
419	0.574899523	0.8951797454
420	0.5748488398	0.8951189236
421	0.5749958521	0.8950247685
422	0.5749017504	0.894923669
423	0.5751107938	0.8948533565
424	0.5753550737	0.8947226852
425	0.57535348	0.8946226852
426	0.5755271932	0.8944850694
427	0.5757050162	0.8943291667
428	0.5757361349	0.894199537
429	0.5757812262	0.8940792245
430	0.5757540249	0.8939993634
431	0.5759334085	0.8938091435
432	0.5759536561	0.8937148148
433	0.5760646801	0.8935501736
434	0.5761523466	0.8934556713
435	0.5762103982	0.8933572338
436	0.5764072852	0.8932771412
437	0.5763237868	0.8932051505
438	0.5763873059	0.8931269676
439	0.5767626198	0.8929304977
440	0.5768345245	0.8928196181
441	0.5770611197	0.8927032407
442	0.5771390587	0.8926244792
443	0.5771781419	0.8925178241
444	0.5771349405	0.8923883681
445	0.5773096848	0.8922697917
446	0.5772718608	0.8921273727
447	0.5774611629	0.8920024306
448	0.577652964	0.8918311343
449	0.5777384046	0.8917391782
450	0.5778063043	0.8916554977
451	0.5778789055	0.8914729167
452	0.578004212	0.8913892361
453	0.578070924	0.8912681134
454	0.5781001059	0.8911634259
455	0.5781881283	0.8910024884
456	0.5782458279	0.8908667245
457	0.5782310333	0.8907592593
458	0.5784345888	0.8906375579
459	0.5783642806	0.890536169
460	0.5783486065	0.8904244213
461	0.5784584986	0.890333044
462	0.5784362445	0.8902684606
463	0.5787502952	0.8901172454
464	0.5788691128	0.8900028356
465	0.5789558085	0.8899170718
466	0.5790846777	0.8898328704
467	0.5790993067	0.8896885417
468	0.5790366374	0.8895640625
469	0.5791198554	0.8894671875
470	0.5790900229	0.8893579282
471	0.579193789	0.8892243056
472	0.579368961	0.8890740741
473	0.5793193719	0.8889706597
474	0.5794681113	0.8889155093
475	0.579509693	0.8888622106
476	0.5795582738	0.8887605903
477	0.5796663006	0.8886503472
478	0.5797803295	0.8885770833
479	0.5798599112	0.8885256366
480	0.5798566181	0.8884662037
481	0.5800579151	0.8883387731
482	0.5800881486	0.8882424769
483	0.5803134467	0.8880902778
484	0.5801915052	0.8879302662
485	0.5803196534	0.8878802662
486	0.5803668899	0.8877611111
487	0.5805203365	0.8876134838
488	0.580631065	0.8875357639
489	0.5805523974	0.8874309028
490	0.580658624	0.8872832176
491	0.5807471391	0.8872159722
492	0.5810122996	0.8871090856
493	0.5811409956	0.8869560764
494	0.5811662902	0.886873669
495	0.5812879141	0.8867207755
496	0.5814735133	0.8866438657
497	0.5814516805	0.8865399306
498	0.5816981835	0.8864098958
499	0.5818401037	0.8863083333
500	0.5817324232	0.8861844907
501	0.5818293972	0.8860968171
502	0.5818507506	0.8860009259
503	0.5816909809	0.8858509838
504	0.5818144728	0.8857523727
505	0.581888452	0.8856644676
506	0.5820583517	0.8856103009
507	0.581966515	0.8854913194
508	0.5822014264	0.8854016204
509	0.5822486905	0.8852742477
510	0.5821910548	0.8851733218
511	0.5823727776	0.8850512153
512	0.5823202187	0.8849842593
513	0.5825301947	0.8848670139
514	0.5826830518	0.8847400463
515	0.5827349879	0.8846373843
516	0.5828126951	0.8845481481
517	0.5830265846	0.8844435185
518	0.5829479422	0.884345544
519	0.5828840068	0.8842163194
520	0.5829055378	0.8841527778
521	0.5831685225	0.8840186921
522	0.5831444557	0.8839356481
523	0.5833296523	0.8838728009
524	0.5834967366	0.8838203125
525	0.5834359767	0.8837301505
526	0.5835310581	0.8836916667
527	0.5836835287	0.8836101852
528	0.5835323439	0.8835416667
529	0.5838069656	0.883450463
530	0.5837182324	0.8833585648
531	0.5838167292	0.883284838
532	0.5837820573	0.8831814236
533	0.5838510655	0.8830747106
534	0.5838636399	0.8830183449
535	0.583931795	0.8828874421
536	0.5837972069	0.8827280093
537	0.5839136215	0.8826090856
538	0.5838452499	0.8824745949
539	0.584033426	0.8823771991
540	0.5841212322	0.8822908565
541	0.5841853812	0.8821787616
542	0.5844403886	0.8820815394
543	0.5845658369	0.8820086227
544	0.5846439721	0.8819593171
545	0.5847144302	0.8818587963
546	0.5848885848	0.8817948495
547	0.5849577916	0.8817271991
548	0.5849153417	0.881661169
549	0.5849370692	0.88165625
550	0.5848539728	0.8815505208
551	0.5849739222	0.8814538773
552	0.5852544313	0.8813302083
553	0.5853592562	0.8812401042
554	0.5856180762	0.8811257523
555	0.5855848958	0.8810372685
556	0.5856195801	0.880946412
557	0.5856564867	0.8808540509
558	0.5856632569	0.8807792245
559	0.5857873463	0.880721875
560	0.5857373592	0.8806383102
561	0.5857578665	0.8805458333
562	0.5856836682	0.8805192708
563	0.5859811078	0.8804098958
564	0.5859358371	0.8803335648
565	0.585929132	0.8802748264
566	0.5859926978	0.8801795718
567	0.5861231912	0.8800477431
568	0.5863219762	0.8799537037
569	0.5863122787	0.8799141782
570	0.5863813109	0.8798079861
571	0.5864846422	0.8797486111
572	0.5866995067	0.8796036458
573	0.5865599829	0.8795156829
574	0.586681992	0.879373669
575	0.5867631292	0.8792666667
576	0.5869215905	0.8791571759
577	0.5869008095	0.8790825231
578	0.5872158395	0.8789755787
579	0.5871572759	0.8788727431
580	0.587246335	0.8787675926
581	0.5872124099	0.8786588542
582	0.5873521366	0.8785447338
583	0.5874640015	0.8784441551
584	0.5876025149	0.8783895255
585	0.5876855901	0.8783274306
586	0.5877977002	0.8782156829
587	0.5878171602	0.8781278356
588	0.588064646	0.8780379051
589	0.588062053	0.8779747685
590	0.5880051974	0.8779233218
591	0.5881398191	0.8778603588
592	0.5882053622	0.8777760995
593	0.5882962601	0.8777000579
594	0.5882841723	0.8776258681
595	0.5883241869	0.87755625
596	0.5883351293	0.8774809606
597	0.5884501016	0.8773546875
598	0.5884878586	0.8772862269
599	0.588664771	0.8771717593
600	0.5887585153	0.8770582755
601	0.5888872272	0.8769309606
